gene	score	logfoldchange	pval	pval_adj	pct_within	pct_outside	cluster
mt-Nd4	28.250172	1.4949121	1.4164231130991567e-175	5.586306877918278e-173	0.7624259005927952	0.36993736951983297	AT2 cells
mt-Cytb	27.960875	1.324625	4.86220770208448e-172	1.8740495549920614e-169	0.8645690834473324	0.5219206680584552	AT2 cells
Mid1ip1	27.757683	4.534689	1.4074787200781317e-169	5.189006872566312e-167	0.4363885088919289	0.024843423799582463	AT2 cells
Scd2	27.67541	5.428312	1.3806289695837648e-168	4.9817205734406524e-166	0.42316461468308253	0.010855949895615866	AT2 cells
Egfl6	25.4566	6.1521444	5.966113512526423e-143	1.9457561357487618e-140	0.3853169174646603	0.006263048016701462	AT2 cells
Muc1	25.155231	4.4896016	1.2387206429026908e-139	3.6855198917520585e-137	0.39717282261741904	0.025887265135699375	AT2 cells
Tgoln1	25.134338	3.2190878	2.0963982968369118e-139	6.129796330354687e-137	0.42909256725946193	0.054488517745302716	AT2 cells
Acsl4	25.029696	5.0116825	2.905067257609734e-138	8.211172603633913e-136	0.387140902872777	0.015448851774530271	AT2 cells
Atp8a1	24.788277	3.4193177	1.1994764561048426e-135	3.2288763839812735e-133	0.41358869129046966	0.04551148225469728	AT2 cells
Vamp8	23.970776	1.9105206	5.612018387366635e-127	1.4642187666361655e-124	0.5243958048335613	0.18162839248434237	AT2 cells
Sdc4	23.91452	2.6666222	2.163104877317213e-126	5.558196305215548e-124	0.4363885088919289	0.08455114822546973	AT2 cells
Ptprf	23.838015	3.835747	1.3482942952997896e-125	3.412794470744647e-123	0.3875968992248062	0.03549060542797495	AT2 cells
Prnp	23.78201	3.7498207	5.127728030494892e-125	1.278840289252395e-122	0.38805289557683537	0.03632567849686848	AT2 cells
Socs2	23.371782	3.8260708	8.27760387904191e-121	1.977181467389743e-118	0.3807569539443684	0.03549060542797495	AT2 cells
Cpm	23.200308	4.3307	4.520761305056146e-119	1.0502409722253037e-116	0.3679890560875513	0.0244258872651357	AT2 cells
Zdhhc3	23.17728	6.5666785	7.718708076413303e-119	1.7689401387553137e-116	0.3492932056543548	0.0041753653444676405	AT2 cells
H2afj	23.142256	2.6021643	1.739701249889301e-118	3.933812466249688e-116	0.4277245782033744	0.08517745302713987	AT2 cells
mt-Nd1	21.799122	1.0320724	2.3650707031551545e-105	5.013654256851034e-103	0.7875056999544003	0.5096033402922756	AT2 cells
mt-Nd5	21.795132	1.2730218	2.5804592680242295e-105	5.402717126718878e-103	0.6406748746010031	0.3135699373695198	AT2 cells
Ppp1r14c	21.66271	4.355757	4.612798107726847e-104	9.540054037675561e-102	0.34199726402188785	0.019832985386221295	AT2 cells
Dbi	21.339758	1.7437866	4.854530128626838e-101	9.80094957754554e-99	0.483812129502964	0.17035490605427975	AT2 cells
Gpr116	21.280134	1.7431852	1.7344750400841578e-100	3.460583788798498e-98	0.42453260373917007	0.08559498956158663	AT2 cells
Acot7	21.081444	4.029458	1.1773795640820848e-98	2.321765119449776e-96	0.3369813041495668	0.022338204592901877	AT2 cells
Errfi1	21.004656	5.1391845	5.946323444808545e-98	1.1591229804656104e-95	0.3223894208846329	0.00918580375782881	AT2 cells
mt-Co1	20.925547	1.008114	3.134513377335742e-97	5.9064680406929834e-95	0.7747378020975833	0.4987473903966597	AT2 cells
Cd63	20.587976	1.8577979	3.517617833834118e-94	6.48426965695574e-92	0.43502051983584133	0.12379958246346555	AT2 cells
Scp2	20.306168	2.0472481	1.1341822089920933e-91	2.0682361378813885e-89	0.4163246694026448	0.11607515657620042	AT2 cells
Prdx6	20.295391	1.6064787	1.4122483973720794e-91	2.547906443726925e-89	0.4518923848609211	0.1325678496868476	AT2 cells
Oat	20.066927	3.7093964	1.4361263222030807e-89	2.53700690606688e-87	0.3278613771089831	0.030688935281837162	AT2 cells
Ctnnb1	20.057604	2.2744977	1.7323214929569988e-89	3.028705175160592e-87	0.38942088463292296	0.09081419624217119	AT2 cells
Ctsc	20.04718	1.7258182	2.1361253413050193e-89	3.696586700325696e-87	0.4382124943000456	0.12755741127348644	AT2 cells
Cat	19.859413	2.7088	9.137303486241863e-88	1.5652477759916745e-85	0.3602371181030552	0.06931106471816284	AT2 cells
Abcd3	19.742414	4.1420474	9.321485148436956e-87	1.5498339865915914e-84	0.31554947560419516	0.02359081419624217	AT2 cells
Atp11a	19.597607	4.510529	1.6207012930679265e-85	2.6428339643402852e-83	0.3091655266757866	0.01962421711899791	AT2 cells
Il33	19.42172	5.292018	5.056797948703476e-84	8.167451086863071e-82	0.2968536251709986	0.007306889352818371	AT2 cells
Lpin2	19.329008	3.1012282	3.062435282400651e-83	4.853816818152584e-81	0.3278613771089831	0.03924843423799582	AT2 cells
Sepp1	19.263437	1.1924989	1.089029279663913e-82	1.7100784772055834e-80	0.5006839945280438	0.18559498956158663	AT2 cells
Bex4	19.252861	6.077325	1.3357913112630963e-82	2.0783197107991607e-80	0.2913816689466484	0.004592901878914405	AT2 cells
Acoxl	18.896866	6.238208	1.2102992608026634e-79	1.816412846367466e-77	0.28499772001823986	0.003340292275574113	AT2 cells
Chia	18.759758	5.7258215	1.6113272988942923e-78	2.2963445094074205e-76	0.28545371637026906	0.0060542797494780795	AT2 cells
Sdc1	18.61273	3.7412868	2.533714168856693e-77	3.551178395838071e-75	0.3064295485636115	0.033194154488517744	AT2 cells
Lrg1	18.477468	3.7665148	3.135483521312346e-76	4.3585791014701706e-74	0.29867761057911535	0.02254697286012526	AT2 cells
Etv5	18.17024	6.262728	8.880701612463033e-74	1.2145791826271015e-71	0.27405380756953945	0.003340292275574113	AT2 cells
App	18.114435	1.15489	2.451787345557912e-73	3.3263889274653305e-71	0.5271317829457365	0.24237995824634656	AT2 cells
Acly	17.963839	3.5015721	3.740222188848639e-72	4.955502195365943e-70	0.29320565435476514	0.02359081419624217	AT2 cells
Gclc	17.836578	3.2369401	3.675280409420365e-71	4.757945073538929e-69	0.302781577747378	0.03903966597077244	AT2 cells
mt-Rnr2	17.53412	0.8768876	7.865757286670414e-69	1.0105710441260876e-66	0.8454172366621067	0.5711899791231733	AT2 cells
Ank3	17.472795	4.395579	2.3090138347674435e-68	2.9442530544226366e-66	0.2763337893296854	0.01753653444676409	AT2 cells
Kcnj15	17.416822	5.0005364	6.149963357263289e-68	7.783375266852846e-66	0.270405836753306	0.012526096033402923	AT2 cells
Pi4k2b	16.906996	4.6837535	3.9955946522003543e-64	4.8749129285371085e-62	0.26310989512083904	0.011691022964509395	AT2 cells
Car8	16.872242	3.4235606	7.201142737558082e-64	8.723155691874823e-62	0.28454172366621067	0.03653444676409186	AT2 cells
Lyz1	16.83709	5.904919	1.3049922159464465e-63	1.54764776155495e-61	0.25763793889648884	0.007515657620041753	AT2 cells
Bsg	16.810806	1.6850386	2.0338293025135413e-63	2.3952577181477186e-61	0.37847697218422255	0.12922755741127348	AT2 cells
Phldb2	16.678059	3.375824	1.8926861282338632e-62	2.1984975375834303e-60	0.2758777929776562	0.026722338204592903	AT2 cells
Gde1	16.604244	2.7999136	6.493198078472146e-62	7.390479611597928e-60	0.29320565435476514	0.04739039665970773	AT2 cells
Slc12a2	16.602308	3.6508074	6.706260890617153e-62	7.582098562931754e-60	0.2717738258093935	0.025887265135699375	AT2 cells
Hp	16.571625	1.218483	1.1176318080980319e-61	1.2552263465916904e-59	0.4113087095303238	0.1419624217118998	AT2 cells
Apoc1	16.569458	5.876091	1.1586594104840767e-61	1.2927437462104904e-59	0.25125398996808024	0.004384133611691023	AT2 cells
Cldn3	16.175154	1.7386104	7.550996063657747e-59	8.156518614240238e-57	0.3483812129502964	0.1045929018789144	AT2 cells
Ces1d	16.13823	1.2969218	1.3742632113473584e-58	1.4750715064075854e-56	0.40355677154582764	0.1498956158663883	AT2 cells
Tspan11	16.043697	5.7034955	6.3273227611386636e-58	6.748746333720163e-56	0.24350205198358413	0.004384133611691023	AT2 cells
Ccdc141	15.893466	5.3623295	7.032945602710102e-57	7.454482779772538e-55	0.24350205198358413	0.007098121085594989	AT2 cells
Tmbim6	15.786066	1.0773369	3.8803590105024975e-56	4.062161015994559e-54	0.49019607843137253	0.25073068893528183	AT2 cells
Tmem243	15.741297	5.8118997	7.881169192244616e-56	8.199800511121255e-54	0.2389420884632923	0.004592901878914405	AT2 cells
Mettl7a1	15.706228	1.7173015	1.3709647713511324e-55	1.417694607155113e-53	0.3483812129502964	0.11691022964509394	AT2 cells
Pmvk	15.545107	4.859778	1.717357190245313e-54	1.713215328786486e-52	0.23985408116735066	0.0081419624217119	AT2 cells
Prr15l	15.500523	2.5707395	3.440800803935835e-54	3.392589583369059e-52	0.28545371637026906	0.05741127348643006	AT2 cells
Arl6ip1	15.299997	1.114109	7.6459713263355085e-53	7.325877272504175e-51	0.4537163702690378	0.22087682672233822	AT2 cells
Adk	15.140622	4.142027	8.738356820666768e-52	8.232988517871539e-50	0.23848609211126312	0.012317327766179541	AT2 cells
Irx1	15.068834	5.6725664	2.596524280751994e-51	2.4194755646853333e-49	0.22891016871865025	0.004384133611691023	AT2 cells
Nkx2-1	15.049938	4.3367987	3.4555643655205977e-51	3.202345140702941e-49	0.23711810305517556	0.013361169102296452	AT2 cells
Atp6v1c2	14.992897	3.7065835	8.170950229703282e-51	7.490332159218268e-49	0.2444140446876425	0.022338204592901877	AT2 cells
Cd74	14.431499	0.25536144	3.2787843148767483e-47	2.911251476230093e-45	0.6037391700866394	0.27244258872651356	AT2 cells
Gas6	14.4255705	2.7851577	3.5730182238126472e-47	3.155980003002015e-45	0.25216598267213863	0.03632567849686848	AT2 cells
Rbpjl	14.416299	6.7980494	4.0868048516516423e-47	3.591094480785503e-45	0.2165982672138623	0.0018789144050104384	AT2 cells
Cyp2b10	14.353055	2.429935	1.0194615591946394e-46	8.687964111749693e-45	0.26812585499316005	0.055323590814196244	AT2 cells
Exosc7	14.334004	3.4999876	1.3415590972012061e-46	1.1375750364717628e-44	0.23529411764705882	0.021711899791231733	AT2 cells
Fdps	14.302645	3.6779296	2.1064838514987953e-46	1.7773064496302523e-44	0.23073415412676698	0.016910229645093946	AT2 cells
Enpep	14.199198	5.6319265	9.266721185935843e-46	7.703643362366958e-44	0.21568627450980393	0.0041753653444676405	AT2 cells
Aqp5	14.164813	4.78346	1.5126835838959213e-45	1.239304391270093e-43	0.21842225262197904	0.007306889352818371	AT2 cells
Lrrk2	14.105656	4.477512	3.5051567787894326e-45	2.8578823947831725e-43	0.2193342453260374	0.008768267223382045	AT2 cells
Eif4h	14.075057	2.0416577	5.406124650227383e-45	4.3451406608154596e-43	0.2781577747378021	0.06576200417536535	AT2 cells
Chchd10	14.003244	1.2879084	1.4891435259611134e-44	1.1856518805997428e-42	0.3228454172366621	0.1022964509394572	AT2 cells
Tpm1	13.918009	1.6642374	4.924300977882105e-44	3.902393471210403e-42	0.3036935704514364	0.0931106471816284	AT2 cells
Mlc1	13.834136	6.342828	1.5863092901246173e-43	1.2454731134825642e-41	0.208390332877337	0.0022964509394572024	AT2 cells
Secisbp2l	13.771493	2.6021993	3.78311279334844e-43	2.9430188010273483e-41	0.2448700410396717	0.037578288100208766	AT2 cells
Iah1	13.755858	3.1561449	4.696735578384607e-43	3.6205426669920245e-41	0.2302781577747378	0.0244258872651357	AT2 cells
Pla2g1b	13.615507	5.780958	3.238902302836919e-42	2.4854544865977967e-40	0.20656634746922026	0.0037578288100208767	AT2 cells
Lrp2	13.592364	5.022798	4.4448522729649774e-42	3.3802802554804057e-40	0.20884632922936616	0.006471816283924844	AT2 cells
Mgst1	13.521313	1.0264567	1.170678762703921e-41	8.823796060753688e-40	0.37802097583219335	0.15949895615866388	AT2 cells
Aox3	13.397581	3.1410456	6.246580907074781e-41	4.566196793236259e-39	0.23347013223894209	0.037160751565762005	AT2 cells
Fgfr2	13.077392	5.3645477	4.433968376702112e-39	3.1462623305644816e-37	0.1997264021887825	0.005010438413361169	AT2 cells
Slc31a1	13.046493	3.5707285	6.654133407767259e-39	4.701977019263539e-37	0.21568627450980393	0.02254697286012526	AT2 cells
Itih4	12.97365	6.4701657	1.7261102882421272e-38	1.2046545011645365e-36	0.19562243502051985	0.0025052192066805845	AT2 cells
Nupr1	12.95719	1.3361593	2.1394231406099858e-38	1.4809174302695816e-36	0.3223894208846329	0.125678496868476	AT2 cells
Bex2	12.909805	5.927416	3.963032236052464e-38	2.721014724340637e-36	0.19562243502051985	0.003340292275574113	AT2 cells
Ppp1r9a	12.6476345	4.5060725	1.1529429585026896e-36	7.88417727147061e-35	0.19744642042863658	0.00918580375782881	AT2 cells
Cox6a2	12.48934	6.6604023	8.535934234571864e-36	5.791986128402176e-34	0.1878704970360237	0.0018789144050104384	AT2 cells
Ahcyl2	12.489231	4.8410797	8.547604929254905e-36	5.791986128402176e-34	0.19197446420428638	0.005636743215031315	AT2 cells
Dstn	12.445069	1.3236498	1.4875604108294378e-35	9.974553438517608e-34	0.32102143182854537	0.13549060542797495	AT2 cells
C6	12.346718	5.3164625	5.073938217384206e-35	3.387752686166092e-33	0.1906064751481988	0.007515657620041753	AT2 cells
Snx25	12.318965	5.5806217	7.160739702510806e-35	4.7623131221521866e-33	0.18695850433196534	0.003340292275574113	AT2 cells
Cdh1	12.167384	2.2901087	4.637032748883451e-34	3.036271752444573e-32	0.23301413588691292	0.05302713987473904	AT2 cells
Tmem30a	12.118721	1.4736625	8.406093073280428e-34	5.483035862683184e-32	0.27998176014591886	0.09457202505219206	AT2 cells
Soat1	12.024252	2.2015538	2.6497811347100634e-33	1.683057612866965e-31	0.22617419060647515	0.04488517745302714	AT2 cells
Nrp1	11.972998	1.1388791	4.921753412615994e-33	3.1144782136027853e-31	0.2959416324669403	0.10668058455114822	AT2 cells
Acsl5	11.948429	2.519221	6.616378011252381e-33	4.171269691183238e-31	0.21751025991792067	0.03966597077244259	AT2 cells
Cd200	11.904997	1.4526322	1.1146798567105219e-32	6.924489263719319e-31	0.2562699498404013	0.07181628392484342	AT2 cells
Npw	11.856678	5.6461816	1.9870331575751428e-32	1.2253852843387943e-30	0.18057455540355677	0.0041753653444676405	AT2 cells
Myh14	11.791228	2.5083516	4.3317803096481045e-32	2.6425418083209424e-30	0.2165982672138623	0.04196242171189979	AT2 cells
Ptplad1	11.7408695	3.312699	7.867327221391206e-32	4.7821506217768265e-30	0.19699042407660738	0.02275574112734864	AT2 cells
Pon3	11.732653	2.6310496	8.669855904423634e-32	5.251145938682873e-30	0.2138622891016872	0.0407098121085595	AT2 cells
Hmgn1	11.701447	1.469178	1.2529964459280853e-31	7.535307349820709e-30	0.27952576379388966	0.1035490605427975	AT2 cells
Herpud1	11.673955	1.8373896	1.7318012985454095e-31	1.037795696891576e-29	0.2471500227998176	0.07369519832985386	AT2 cells
Atp6v1g1	11.470073	1.0862001	1.8650296527229377e-30	1.1020570690079548e-28	0.3292293661650707	0.15281837160751566	AT2 cells
Cadm1	11.427925	2.2575235	3.0326955940698127e-30	1.7734994682699984e-28	0.21477428180574556	0.043423799582463465	AT2 cells
Ang	11.427522	3.410713	3.046795699433498e-30	1.7756222772059347e-28	0.18650250797993617	0.015657620041753653	AT2 cells
Cystm1	11.281889	1.9516017	1.6124635038227124e-29	9.301281823581422e-28	0.2248062015503876	0.055949895615866385	AT2 cells
Prrg3	11.219342	4.370799	3.2769966219608815e-29	1.8775197875619794e-27	0.17601459188326493	0.008977035490605427	AT2 cells
Snhg11	11.212071	4.6208057	3.5576947476183013e-29	2.031479637200632e-27	0.17510259917920656	0.008350730688935281	AT2 cells
Lmo7	11.056085	2.1637897	2.048452714130775e-28	1.157990319298127e-26	0.21523027815777473	0.05135699373695198	AT2 cells
Abhd2	11.054007	2.7119727	2.096449690791676e-28	1.1811857244563466e-26	0.19288645690834474	0.027139874739039668	AT2 cells
Pfkfb2	11.020633	4.320854	3.0391601842538115e-28	1.7066595220119335e-26	0.17327861377108983	0.00918580375782881	AT2 cells
Vimp	10.947944	1.2011924	6.797315218783635e-28	3.7795301244377596e-26	0.297765617875057	0.1336116910229645	AT2 cells
Tmem50b	10.893902	2.5162747	1.23244174081038e-27	6.78603229948157e-26	0.19653442772457821	0.03402922755741127	AT2 cells
Hmgcs1	10.83594	3.064991	2.3256392951673396e-27	1.2722747357013842e-25	0.1828545371637027	0.020876826722338204	AT2 cells
Tspo	10.771833	0.88550913	4.6759692365262855e-27	2.5498315846382403e-25	0.34701322389420886	0.17703549060542798	AT2 cells
Nucb2	10.700021	2.0409992	1.0175572028021962e-26	5.531010449462323e-25	0.2106703146374829	0.05031315240083507	AT2 cells
Emp2	10.671826	1.3118888	1.378893385637649e-26	7.4711351204565135e-25	0.23347013223894209	0.07077244258872652	AT2 cells
Slc39a8	10.629627	3.3083384	2.1697755269408932e-26	1.1681658146473209e-24	0.1714546283629731	0.012317327766179541	AT2 cells
Carkd	10.5021105	2.2407575	8.447024865454047e-26	4.504814298529408e-24	0.20383036935704515	0.0488517745302714	AT2 cells
Iqgap1	10.320737	0.6413646	5.6785620088954285e-25	2.936058936245658e-23	0.4477884176926585	0.27620041753653446	AT2 cells
Col6a1	10.307001	2.9280558	6.551379879776161e-25	3.3770471544414564e-23	0.17373461012311903	0.01941544885177453	AT2 cells
Ptgs1	10.305262	2.6117764	6.670985075354994e-25	3.428279875543798e-23	0.17875056999544003	0.023799582463465554	AT2 cells
Glul	10.290835	1.032405	7.750116084396152e-25	3.9708223164735454e-23	0.29867761057911535	0.1409185803757829	AT2 cells
Spint2	10.173032	2.034754	2.6163590603205613e-24	1.3245024866858627e-22	0.20428636570907432	0.05386221294363257	AT2 cells
Icam1	10.166477	1.9141247	2.7984755786599134e-24	1.4124805755504008e-22	0.19653442772457821	0.04196242171189979	AT2 cells
Gprc5a	10.164917	3.948848	2.8436462988480374e-24	1.431020699767474e-22	0.16233470132238942	0.011482254697286013	AT2 cells
Ndufc2	10.136479	0.9941699	3.8056824285677925e-24	1.9094842694106863e-22	0.3009575923392613	0.14467640918580377	AT2 cells
Arhgef38	10.042349	4.7970133	9.928101546706004e-24	4.880309395089481e-22	0.15549475604195168	0.0060542797494780795	AT2 cells
Smim6	9.955803	2.433064	2.3789419778799496e-23	1.1526993429390304e-21	0.1851345189238486	0.037578288100208766	AT2 cells
Mbip	9.9420805	3.5712848	2.7306471049992724e-23	1.319345990133409e-21	0.16096671226630188	0.012734864300626305	AT2 cells
Ngfrap1	9.91865	2.9114523	3.4539669192221316e-23	1.6640859370195493e-21	0.17282261741906066	0.02567849686847599	AT2 cells
Brd7	9.8369255	2.121192	7.806000984747467e-23	3.739603692099782e-21	0.1883264933880529	0.04050104384133612	AT2 cells
Taok3	9.7932625	1.4769648	1.2034906167271288e-22	5.73314532839196e-21	0.22252621979024167	0.07390396659707725	AT2 cells
Itga9	9.747495	4.378544	1.8907584010872708e-22	8.981896841467514e-21	0.1518467852257182	0.006471816283924844	AT2 cells
Etfb	9.701959	1.091408	2.9576625952037807e-22	1.3971866281911118e-20	0.2694938440492476	0.12150313152400835	AT2 cells
Car2	9.619665	3.5129175	6.604607147090182e-22	3.0771300166896264e-20	0.15777473780209758	0.014613778705636743	AT2 cells
Hsd17b10	9.50087	2.515482	2.0814384982460928e-21	9.54030148425824e-20	0.1719106247150023	0.030480167014613778	AT2 cells
Nedd4l	9.441457	4.0143366	3.67632292635291e-21	1.6714949197860322e-19	0.1486548107615139	0.0077244258872651355	AT2 cells
Pdlim2	9.368307	2.6903799	7.370486173932423e-21	3.3155457565973464e-19	0.16552667578659372	0.025887265135699375	AT2 cells
Oaz2	9.342173	1.8128957	9.437754231163757e-21	4.223083746868236e-19	0.1906064751481988	0.049895615866388306	AT2 cells
Sparc	9.299756	1.0544881	1.407681446589357e-20	6.249442317463063e-19	0.2106703146374829	0.06367432150313153	AT2 cells
Nkd1	9.258882	3.2590637	2.0658559698203982e-20	9.123659216714619e-19	0.151390788873689	0.012734864300626305	AT2 cells
Npnt	9.227265	2.7571447	2.7762848254419453e-20	1.2197672112608795e-18	0.15549475604195168	0.017118997912317326	AT2 cells
Emb	9.134517	1.1055995	6.569961411123524e-20	2.8642667241965e-18	0.24851801185590516	0.10876826722338205	AT2 cells
Ldlr	9.108849	2.9405515	8.326115799739375e-20	3.602107087953573e-18	0.15230278157774738	0.015657620041753653	AT2 cells
Ppic	9.098758	2.8501236	9.137122129187147e-20	3.92294820731354e-18	0.15640674874601004	0.02045929018789144	AT2 cells
Atp6v1a	9.079375	1.4063038	1.092001186717296e-19	4.6765778094794504e-18	0.21477428180574556	0.07724425887265135	AT2 cells
Nrn1	9.058631	6.457973	1.320986073992843e-19	5.58668399721811e-18	0.13634290925672596	0.0014613778705636743	AT2 cells
Rps19	9.02227	0.34357247	1.8423126965504356e-19	7.733609163564069e-18	0.7487460100319198	0.51419624217119	AT2 cells
Avpi1	8.996877	2.057677	2.322301249967929e-19	9.700469679361109e-18	0.17601459188326493	0.04196242171189979	AT2 cells
Slc15a2	8.915657	3.640488	4.849307230213988e-19	1.9961019737184228e-17	0.14409484724122207	0.01127348643006263	AT2 cells
Atp1a1	8.913854	1.5000923	4.928868341255847e-19	2.0239389394517654e-17	0.2024623803009576	0.06805845511482254	AT2 cells
Cmtm8	8.909282	1.8936331	5.136418210875782e-19	2.1040704453681737e-17	0.18194254445964433	0.049269311064718165	AT2 cells
Kcne2	8.893187	5.1751966	5.938111142718213e-19	2.4149742654522344e-17	0.13588691290469676	0.003340292275574113	AT2 cells
Aplp2	8.846723	0.65310353	9.012728334669979e-19	3.6478964159348014e-17	0.35248518011855906	0.20960334029227556	AT2 cells
Myo5c	8.798883	2.90056	1.3818413418834835e-18	5.579677932619522e-17	0.15595075239398085	0.026096033402922755	AT2 cells
H1f0	8.798039	2.5370739	1.3922725320559729e-18	5.608444149913835e-17	0.15595075239398085	0.024217118997912318	AT2 cells
Insig1	8.74795	2.998087	2.1726446122105936e-18	8.710609923990415e-17	0.14728682170542637	0.01649269311064718	AT2 cells
Tceal8	8.71611	2.8655663	2.879231017481281e-18	1.1462178128043438e-16	0.151390788873689	0.021711899791231733	AT2 cells
Sec14l4	8.711449	3.785263	3.000162494772131e-18	1.1915633664833858e-16	0.13999088007295943	0.010438413361169102	AT2 cells
Actn4	8.710298	1.1568426	3.030785912081228e-18	1.200913511284709e-16	0.22343821249430004	0.08977035490605428	AT2 cells
Arf6	8.638958	1.3587223	5.672806876751152e-18	2.211612225812018e-16	0.19927040583675332	0.06659707724425887	AT2 cells
Chka	8.605603	2.711975	7.591655559873495e-18	2.919430536052032e-16	0.15367077063383494	0.026096033402922755	AT2 cells
Dcxr	8.59768	1.6314851	8.134373512783556e-18	3.1210597376311387e-16	0.19516643866849065	0.0686847599164927	AT2 cells
Anapc13	8.585773	1.3222758	9.022764345273522e-18	3.4541097185438746e-16	0.2193342453260374	0.0918580375782881	AT2 cells
Smim1	8.532434	3.0035238	1.432994553143413e-17	5.473458249270077e-16	0.1459188326493388	0.018997912317327767	AT2 cells
Bcam	8.531687	2.2446098	1.4422945958012998e-17	5.49660091015601e-16	0.15367077063383494	0.025052192066805846	AT2 cells
Gstt1	8.484186	2.9686768	2.1723303947799613e-17	8.260213265711516e-16	0.1486548107615139	0.023173277661795406	AT2 cells
Mme	8.482032	5.229405	2.212956046459842e-17	8.395866127944622e-16	0.1295029639762882	0.003131524008350731	AT2 cells
Met	8.479295	4.2188478	2.2656338864621333e-17	8.57653684832842e-16	0.1326949384404925	0.006263048016701462	AT2 cells
Tinagl1	8.386296	2.2123353	5.0169837860349217e-17	1.8658558777931193e-15	0.14956680346557227	0.022964509394572025	AT2 cells
